OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod,PrimaryTemp,IsPils,SizeRatio
1.044,1.009,4.62,14.69,4.24,60,1.032,75.0,Specific Gravity,BIAB,18.33,True,1.3635926993275695
1.044,1.009,4.58,17.81,3.43,90,1.032,75.0,Specific Gravity,All Grain,10.56,True,1.3635926993275695
12.254,2.98982,4.95,18.86,2.93,90,11.1,81.0,Plato,All Grain,15.56,True,1.1056313136011013
1.046,1.007,5.07,23.52,9.2,60,1.0590000000000002,45.0,Specific Gravity,Partial Mash,14.0,True,0.7833333333333333
1.05,1.014,4.77,41.63,4.81,60,1.04,71.0,Specific Gravity,All Grain,18.0,True,1.25
1.051,1.009,5.56,36.21,5.47,60,1.046,70.0,Specific Gravity,All Grain,19.0,True,1.12
1.057,1.016,5.42,37.36,3.51,60,,79.0,Specific Gravity,BIAB,10.0,True,1.391304347826087
1.053,1.013,5.23,22.49,3.72,60,1.042,70.0,Specific Gravity,All Grain,14.44,True,1.2501100836635843
1.053,1.011,5.52,39.92,3.63,60,1.045,70.0,Specific Gravity,All Grain,10.56,True,1.1817963496637849
14.8629,2.60625,6.61,63.35,5.61,80,13.3,74.0,Plato,All Grain,12.0,True,1.12
1.048,1.01,4.97,35.02,3.03,90,1.041,73.0,Specific Gravity,All Grain,10.0,True,1.16
1.051,1.013,4.97,48.71,3.63,60,1.046,80.0,Specific Gravity,BIAB,10.0,True,1.1110365649111036
1.047,1.007,5.26,17.0,4.68,90,1.023,55.0,Specific Gravity,All Grain,15.56,True,1.9973614775725594
1.054,1.015,5.13,43.03,3.89,90,,74.0,Specific Gravity,All Grain,11.0,True,1.1627906976744187
1.094,1.021,9.63,46.75,4.76,90,1.071,75.0,Specific Gravity,Partial Mash,8.89,True,1.3179634966378482
1.051,1.012,5.03,36.66,4.37,90,1.042,75.0,Specific Gravity,BIAB,10.0,True,1.1904761904761905
1.064,1.016,6.3,42.62,4.63,60,1.057,75.0,Specific Gravity,All Grain,12.0,True,1.14
1.0659999999999998,1.017,6.54,71.92,40.0,90,1.054,70.0,Specific Gravity,All Grain,8.89,True,1.2303941487200325
1.037,1.01,3.48,16.4,3.91,60,1.067,35.0,Specific Gravity,extract,13.89,True,0.5456292026897214
1.055,1.01,5.84,17.92,3.57,60,1.043,65.0,Specific Gravity,BIAB,20.0,True,1.2666666666666666
1.044,1.008,4.76,11.07,3.54,60,1.032,65.0,Specific Gravity,All Grain,12.0,True,1.3701923076923077
1.0490000000000002,1.013,4.67,43.53,3.78,60,1.045,70.0,Specific Gravity,All Grain,10.0,True,1.0789016336461592
1.048,1.008,5.33,25.47,4.41,90,1.032,55.0,Specific Gravity,All Grain,18.33,True,1.4986807387862795
1.047,1.012,4.61,21.76,3.28,90,1.04,63.0,Specific Gravity,All Grain,12.78,True,1.1820365033621518
1.097,1.023,9.72,89.58,40.0,90,1.079,72.0,Specific Gravity,All Grain,18.89,True,1.2303941487200325
1.05,1.012,4.96,19.9,19.25,60,1.04,44.0,Specific Gravity,All Grain,22.0,True,1.25
1.048,1.013,4.53,33.11,11.54,90,1.04,60.0,Specific Gravity,Partial Mash,12.0,True,1.2
1.1,1.014,11.26,48.04,6.08,90,1.073,35.0,Specific Gravity,All Grain,8.89,True,1.3635926993275695
1.052,1.013,5.16,37.11,4.85,90,1.044,70.0,Specific Gravity,All Grain,10.0,True,1.1820365033621518
1.052,1.012,5.25,14.54,3.95,60,1.043,68.0,Specific Gravity,All Grain,12.0,True,1.2272727272727273
1.065,1.015,6.57,13.08,3.89,60,1.0490000000000002,70.0,Specific Gravity,All Grain,12.78,True,1.3335290663534938
1.051,1.013,5.0,21.91,3.41,90,1.044,65.0,Specific Gravity,All Grain,10.0,True,1.1820365033621518
1.05,1.012,5.01,35.96,3.71,90,1.045,73.0,Specific Gravity,All Grain,10.0,True,1.12
1.043,1.009,4.41,23.23,3.0,60,1.036,65.0,Specific Gravity,All Grain,20.56,True,1.1820365033621518
1.046,1.01,4.63,21.47,2.89,90,1.043,90.0,Specific Gravity,All Grain,10.0,True,1.0666666666666667
1.077,1.02,7.54,57.3,3.88,90,1.051,80.0,Specific Gravity,All Grain,9.44,True,1.4997358689910196
1.054,1.015,5.1,37.56,4.82,80,1.045,75.0,Specific Gravity,All Grain,13.0,True,1.2
1.053,1.014,5.17,45.17,3.28,90,1.043,73.0,Specific Gravity,All Grain,10.0,True,1.2332754126846222
1.0490000000000002,1.011,5.01,34.91,3.55,60,1.041,80.0,Specific Gravity,All Grain,12.0,True,1.2
1.0759999999999998,1.02,7.39,110.34,4.91,60,1.0590000000000002,75.0,Specific Gravity,All Grain,11.11,True,1.300052826201796
1.055,1.015,5.24,46.94,3.49,60,1.04,70.0,Specific Gravity,All Grain,10.0,True,1.3635926993275695
1.048,1.013,4.53,25.44,3.5,60,1.087,35.0,Specific Gravity,extract,4.0,True,0.55
1.048,1.007,5.33,39.22,3.47,90,1.041,70.0,Specific Gravity,All Grain,10.0,True,1.16
1.051,1.009,5.53,35.46,3.47,60,1.046,76.0,Specific Gravity,BIAB,10.0,True,1.0869565217391304
1.064,1.014,6.67,115.12,5.09,90,1.039,62.0,Specific Gravity,BIAB,10.0,True,1.666483214089158
1.05,1.011,5.08,34.73,3.22,45,1.04,80.0,Specific Gravity,BIAB,13.89,True,1.2501100836635843
1.0490000000000002,1.01,5.17,39.75,5.79,60,1.046,70.0,Specific Gravity,All Grain,12.0,True,1.06
1.054,1.015,5.04,37.93,3.65,60,1.122,35.0,Specific Gravity,extract,12.0,True,0.44
1.05,1.012,5.06,41.36,3.88,90,1.039,85.0,Specific Gravity,All Grain,10.0,True,1.2833333333333334
1.044,1.012,4.13,43.11,4.98,70,1.04,63.0,Specific Gravity,BIAB,15.0,True,1.08
1.047,1.012,4.56,34.45,3.71,90,1.034,71.0,Specific Gravity,All Grain,12.0,True,1.3636363636363635
1.053,1.012,5.42,44.45,3.49,90,1.043,77.0,Specific Gravity,All Grain,10.0,True,1.2271853986551393
1.044,1.01,4.47,40.04,3.22,90,1.03,64.0,Specific Gravity,All Grain,11.0,True,1.4782608695652173
1.054,1.011,5.57,36.95,4.18,90,1.04,70.0,Specific Gravity,All Grain,4.44,True,1.3635926993275695
1.0659999999999998,1.015,6.69,54.35,3.93,90,1.038,75.0,Specific Gravity,All Grain,8.89,True,1.7415946205571564
1.055,1.012,5.54,29.94,3.02,90,1.043,80.0,Specific Gravity,All Grain,-17.78,True,1.2728146013448607
1.0490000000000002,1.008,5.45,43.29,3.87,90,1.036,65.0,Specific Gravity,BIAB,12.78,True,1.3500660501981507
1.047,1.013,4.43,44.15,2.83,75,1.034,68.0,Specific Gravity,All Grain,12.0,True,1.391304347826087
1.053,1.008,5.88,37.56,5.56,60,1.043,69.0,Specific Gravity,All Grain,12.0,True,1.2347826086956522
1.052,1.013,5.04,40.89,3.9,60,1.054,72.0,Specific Gravity,BIAB,10.5,True,0.9523809523809523
1.05,1.012,5.04,38.11,3.42,60,1.035,63.0,Specific Gravity,BIAB,11.11,True,1.4287871162556618
1.054,1.016,5.0,21.7,4.02,90,1.029,65.0,Specific Gravity,All Grain,13.33,True,1.3998943475964079
1.062,1.017,5.83,49.8,6.45,60,1.053,75.0,Specific Gravity,All Grain,11.11,True,1.1668868339938352
1.0490000000000002,1.014,4.66,45.3,4.19,90,1.043,55.0,Specific Gravity,All Grain,4.0,True,1.1515151515151516
1.05,1.012,5.02,31.52,3.72,90,1.039,75.0,Specific Gravity,All Grain,10.0,True,1.2728146013448607
1.052,1.013,5.04,41.1,5.17,60,1.073,35.0,Specific Gravity,extract,13.0,True,0.5291005291005292
1.05,1.013,4.83,44.82,3.04,90,1.04,76.0,Specific Gravity,BIAB,12.0,True,1.25
1.058,1.014,5.69,36.49,3.66,90,1.04,73.0,Specific Gravity,BIAB,11.11,True,1.4543707973102786
1.035,1.006,3.9,35.54,4.21,60,1.028,77.0,Specific Gravity,BIAB,11.11,True,1.2728146013448607
1.063,1.013,6.57,48.35,3.95,90,1.045,72.0,Specific Gravity,All Grain,11.11,True,1.3998943475964079
1.043,1.01,4.27,44.55,11.16,60,1.044,75.0,Specific Gravity,All Grain,20.0,True,0.9598478444632291
